,Page Num,Experience,job_title,company_name,location,skills
121,120,entry_level,Data Scientist,Uptake,"Chicago, IL","Machine Learning, R, C/C++, Financial Planning, MATLAB, AI, Scala, Java, Python"
122,120,entry_level,Data Scientist,TrueMotion,"Boston, MA","TensorFlow, Machine Learning, Big Data, Hadoop, Spark, Signal Processing, Python"
123,120,entry_level,Data Scientist,Remind,"San Francisco, CA","Ruby, R, Python"
124,120,entry_level,Machine Learning Engineer,FactSet,"New York, NY 10016 (Gramercy area)","Machine Learning, Natural Language Processing, Weka, Java, Shell Script, Python"
125,120,entry_level,Data Scientist,Xaqt,"Chicago, IL","Data Mining, Machine Learning, R, MATLAB, Data Science, Python, Elasticsearch"
126,120,entry_level,Data Scientist,Lockheed Martin,"Rochester, NY 14623","Hive, Machine Learning, R, Data Mining, Hadoop, Scala, Java, Spark, Data Science, Python, AWS"
127,120,entry_level,Predictive Modeling Analyst,Voya Financial,"Windsor, CT","Machine Learning, Big Data, AI, Data Mining, Data Warehouse"
128,120,entry_level,Data Scientist,IdentityMind,"Palo Alto, CA 94301 (Professorville area)","BI, Machine Learning, R, Scala, Tableau, Big Data, Cassandra, Spark, Data Warehouse, Python, AWS"
129,120,entry_level,Research Scientist,Research Foundation of The City University of New...,"New York, NY","Data Mining, Machine Learning, R, MATLAB, Python"
130,120,entry_level,Data Scientist,Thomson Reuters,"New York, NY 10036","TensorFlow, Agile, Machine Learning, R, Natural Language Processing, Hadoop, Spark, Python"
131,130,entry_level,Data Scientist,Thomson Reuters,"New York, NY 10036","TensorFlow, Agile, Machine Learning, R, Natural Language Processing, Hadoop, Spark, Python"
132,130,entry_level,Data Scientist,Evans & Chambers Technology,"Springfield, VA","Machine Learning, Node.js, Big Data, S3, CSS, JavaScript, Java, MongoDB, Angular, Data Warehouse, Shell Script, Python, AWS"
133,130,entry_level,Data Scientist,"View, Inc.","Milpitas, CA 95035","Hive, Machine Learning, R, C/C++, MATLAB, Scala, HBase, Java, Cassandra, MongoDB, Shell Script, Python"
134,130,entry_level,Machine Learning Engineer,Interactive Data,"New York, NY 10016 (Gramercy area)","Machine Learning, Natural Language Processing, Weka, Java, Shell Script, Python"
135,130,entry_level,Data Scientist,Giant Oak,"Arlington, VA","Machine Learning, C/C++, Big Data, CSS, JavaScript, HBase, Java, Cassandra, Python"
136,130,entry_level,Data Scientist,Infometry,United States,No Experience Listed
137,130,entry_level,Data Scientist,Savvysherpa,"Minneapolis, MN","Data Mining, Machine Learning, Experimental Design, R, Signal Processing, Python"
138,130,entry_level,Data Scientist,"Egnyte, Inc.","Mountain View, CA 94043","Hive, Ruby, Hadoop, Data Science, Python, PHP"
139,130,entry_level,Junior Research Analyst,McKinsey & Company,"Houston, TX",No Experience Listed
140,130,entry_level,Data Scientist,Perfecta,"Springfield, VA","Agile, Data Mining, Machine Learning, C/C++, Big Data, Git, Python"
141,140,entry_level,Research Scientist - All Levels (Applied Data Scientist),Columbia University,"New York, NY","Machine Learning, R, C/C++, Big Data, MATLAB, SPSS, Scala, Sas, Java, Data Science, Python"
142,140,entry_level,Machine Learning Engineer (Associate) - Intelligent Solutions,JP Morgan Chase,"New York, NY 10001 (Chelsea area)","TensorFlow, Machine Learning, Natural Language Processing"
143,140,entry_level,Analyst - Economics Research - Data Scientist,BNP Paribas Personal Finance,"New York, NY","R, MATLAB, Visual Basic"
144,140,entry_level,Data Scientist,REX - Real Estate Exchange,"Woodland Hills, CA 91367","Machine Learning, Java, Python, AWS"
145,140,entry_level,Data Scientist - CAFE,Health Catalyst,"Salt Lake City, UT","Machine Learning, Data Science, Python, OOP"
146,140,entry_level,Data Scientist - Conversion,Sprout Social,"Chicago, IL 60603 (Loop area)","Experimental Design, R, Data Science, Python"
147,140,entry_level,Data Analytics Co-Op - Undergraduate & Masters Degrees,AT&T,"Plano, TX","AI, Machine Learning, Big Data, Data Science"
148,140,entry_level,Data Scientist - Machine Learning,Affirm,"San Francisco, CA 94126 (Financial District area)","Machine Learning, Python"
149,140,entry_level,Quantitative Researcher in Machine Learning,"Two Sigma Investments, LLC.","New York, NY","Java, Machine Learning, C/C++, Python"
150,140,entry_level,Data Science Internship - Summer 2018,Knewton,"New York, NY","Data Mining, Machine Learning, Hadoop, R, HBase, Java, Cassandra, MATLAB, Data Science, Python"
151,150,entry_level,Data Analytics Co-Op - Undergraduate & Masters Degrees,AT&T,"Plano, TX","AI, Machine Learning, Big Data, Data Science"
152,150,entry_level,Data Scientist - Machine Learning,Affirm,"San Francisco, CA 94126 (Financial District area)","Machine Learning, Python"
153,150,entry_level,Marketing Data Analyst,Via,"New York, NY","JavaScript, R, Python"
154,150,entry_level,Data Scientist,Inscopix,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)","Machine Learning, R, Image Processing, MATLAB, Python"
155,150,entry_level,Data Scientist,Quotient Technology Inc.,"Cincinnati, OH 45236","R, Perl, C/C++, AI, Data Mining, Sas, Java, Data Science, Python"
156,150,entry_level,Data Scientist,Priceline.com,"Norwalk, CT 06854","BI, Data Mining, Machine Learning"
157,150,entry_level,Data Scientist,Sitecore,"Sausalito, CA","Data Mining, Machine Learning, R, .Net, Data Science"
158,150,entry_level,Data Scientist,Womply San Francisco,"San Francisco, CA","Experimental Design, R, Cassandra, Spark, Python"
159,150,entry_level,Data Scientist,"SPINS, LLC","Chicago, IL","Docker, Data Science, Python"
160,150,entry_level,Data Scientist,Catapult Sports,"Chicago, IL","Embedded Software, Machine Learning, R, C/C++, Big Data, Git, Data Science, Python"
161,160,entry_level,Data Scientist,Catapult Sports,"Chicago, IL","Embedded Software, Machine Learning, R, C/C++, Big Data, Git, Data Science, Python"
162,160,entry_level,Data Scientist,Upstart,"San Carlos, CA","Machine Learning, R, Python"
163,160,entry_level,Data Scientist,Classy,"San Diego, CA","Machine Learning, R, Natural Language Processing, Salesforce, Data Science, Python"
164,160,entry_level,Data Anayltics Intern,GNY Insurance Companies,"New York, NY 10016 (Gramercy area)","Visual Basic, R, Sas, Python"
165,160,entry_level,Data Scientist,the Neura,"Sunnyvale, CA 94089",No Experience Listed
166,160,entry_level,Data Scientist,SAP,"Bellevue, WA","TensorFlow, Machine Learning, R, Natural Language Processing, SAP, Python, Enterprise Software"
167,160,entry_level,Data Scientist,DrFirst,"Rockville, MD 20850","Data Mining, Machine Learning, R, Natural Language Processing, Data Science, Python"
168,160,entry_level,Data Scientist,Adobe,"San Jose, CA",No Experience Listed
169,160,entry_level,Data Scientist,Neiman Marcus,"Dallas, TX","Financial Management, Hive, Agile, Machine Learning, R, C/C++, MATLAB, AI, Data Mining, Hadoop, Sas, Java, Spark, Python"
170,160,entry_level,Data Scientist,Opendoor,"San Francisco, CA","Data Mining, Machine Learning, R, Scala, Java, Python, GIS"
171,170,entry_level,Data Scientist,MarketDial,"Salt Lake City, UT","Machine Learning, R, Tableau, Data Warehouse, Python"
172,170,entry_level,Data Scientist,University of Chicago,"Chicago, IL","R, Big Data, Sas, Git, Data Science, Python"
173,170,entry_level,Data Scientist,QuintilesIMS,"Plymouth Meeting, PA","Machine Learning, R, MySQL, Scala, Spark, Git, Python, Data Science"
174,170,entry_level,Data Scientist,Invoca,"Santa Barbara, CA","TensorFlow, Machine Learning, Data Science, Python"
